PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 12.3 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.,Percent inhibition of the confirmatory screen at a compound concentration of 12.3 micromolar.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
89,49713775,24789209,C1CCCN(CC1)C2=C(C=C(C=C2)C(CC(=O)N)NC(=O)CC3=CC=CC4=CC=CC=C43)[N+](=O)[O-],Active,11,,,10.11,1.58813,8.7474,9.23874,12.335
90,26665249,163121,C1=CN=C(N=C1)SC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,11,,,10.03,1.54238,10.9714,11.2724,7.86045
91,49669785,2770851,CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)C(=O)NCC(=O)O,Active,11,,,9.94,3.7043,7.09303,15.1728,7.55717
92,14740906,3381552,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCN(CC4)C5=CC=CC=C5F,Active,11,,,9.82,1.69208,8.64331,12.2174,8.61278
93,49828179,17375783,CC(C)C1=CC=CC=C1NC(=O)NC2=CC3=C(C=C2)OCO3,Active,10,,,9.67,2.31864,7.95024,12.9461,8.10871
94,22414897,11841616,COC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)CNCC4CCCO4,Active,10,,,9.63,3.92142,4.41249,13.867,10.6088
95,26665197,325654,CSC1=NC(=C(S1)C(=O)NC2CCCCC2)N,Active,10,,,9.63,0.722209,8.64928,9.86018,10.3716
96,143472125,60138114,CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3N=C2CCNC(=O)C4CCCCCC4.C(=O)(C(F)(F)F)O,Active,10,,,9.58,1.48347,9.7194,11.3228,7.69713
97,46501022,23640940,C1=CC=C2C(=C1)C(=CN2)CCNC(=O)COC(=O)C3=CC=CC=C3C(=O)OCC(=O)NCCC4=CNC5=CC=CC=C54,Active,10,,,9.58,1.42422,9.3324,7.96567,11.4287
98,47193634,2221587,COC1=CC(=CC(=C1OC)OC)C(=O)NC2=CC3=C(C=C2)C(=O)N(C3=O)CCC(=O)O,Active,10,,,9.54,1.10149,9.91902,10.6668,8.04785
99,7967046,5308591,CCOC(=O)CSC1=NN=C(N1C2=CC=CC=C2C)CN3C4=CC=CC=C4SC3=O,Active,10,,,9.5,6.0155,3.69676,17.7917,7.02446
100,22415192,2922897,COCCNCCCOC1=C(C=C(C=C1)Br)Cl.C(=O)(C(=O)O)O,Active,10,,,9.5,1.89977,12.1666,7.90061,8.42358
101,87335568,2998820,CN=C1N(C(=O)C(S1)CC(=O)NCCC2=CC(=C(C=C2)OC)OC)C,Active,10,,,9.5,2.12627,7.3917,12.4088,8.68953
102,47195844,8142978,CC1=C(C(=NC=C1[N+](=O)[O-])SC2=CC=CC=C2)[N+](=O)[O-],Active,10,,,9.49,2.72711,12.743,6.06984,9.66816
103,26671545,1614423,C1=CC(=CC(=C1)NC(=O)CCCN2C(=O)/C(=C/C3=CC=CO3)/SC2=S)C(=O)O,Inactive,10,,,9.42,1.21317,7.76754,10.6442,9.85126
104,4264652,1088060,CCOC1=CC=CC=C1NC2=NC(=NC(=N2)N)CN(C)C3CCCCC3,Inactive,10,,,9.35,3.5577,8.93737,5.22125,13.9057
105,49644042,3205193,CC1=CC(=C(C=C1)C)N(CC(=O)NCCOC)C(=O)CCC(=O)NC2=CC=CC=N2,Inactive,10,,,9.34,1.54437,7.16605,10.5858,10.2766
106,17431862,2894591,C1=CC(=CC=C1S(=O)(=O)NCCCCNC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])Cl,Inactive,10,,,9.29,3.89942,5.57831,14.68,7.62035
107,50085894,135412795,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CC=C4,Inactive,10,,,9.27,1.4563,11.2246,7.73044,8.85579
108,56423572,6602812,CN1CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3.Cl,Inactive,10,,,9.25,3.1931,13.5675,8.25265,5.94063
109,24810875,15994573,CC1=NC(=C(N1CC(=O)C2=CC(=CC=C2)[N+](=O)[O-])Br)[N+](=O)[O-],Inactive,10,,,8.98,1.21629,7.92761,8.3347,10.6871
110,22409808,4609609,C1CCC(=NNC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])C1,Inactive,10,,,8.96,2.38577,7.96362,12.2552,6.67425
111,17408211,1134893,COC1=CC=C(C=C1)OCC2=NN=C(O2)SCC(=O)N3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl,Inactive,9,,,8.83,1.55549,7.23141,8.33097,10.9405
